"Service Request Description","Department","Method Received","Created Date","Block/Address","Street","Ward","Sub-Type"
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 29, 2022 11:20:21 AM","62##","RIVERSIDE","WARD 6"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 23, 2022 12:20:51 PM"," ","MILLOY ST & CENTRAL AVE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Web Intake","MAR 23, 2022 01:30:36 PM"," "," ","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 29, 2022 01:00:46 PM","44##","HOWARD","WARD 1"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 22, 2022 11:28:57 AM","10##","JARVIS","WARD 7"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 21, 2022 03:09:08 PM","58##","RHODES","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 21, 2022 01:10:23 PM","11##","LENS","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","AUG 22, 2022 09:56:53 AM","9222##","EC ROW OFF","WARD 7"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","AUG 26, 2022 08:13:43 AM","3##","RIVERSIDE","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","AUG 26, 2022 03:10:00 PM","16##","PARENT","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 10:46:06 AM"," ","CENTRAL AVE & TECUMSEH RD E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 11:02:25 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 01:51:58 PM"," ","PILLETTE RD & RIVERSIDE DR E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 18, 2022 01:49:02 PM","9888##","EC ROW ON","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","DEC 01, 2022 01:34:48 PM","9666##","EC ROW OFF","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","DEC 05, 2022 01:47:26 PM"," ","WALKER RD & EC ROW OFF RAMP E","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 09:12:21 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 09:20:36 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 11:00:24 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","DEC 02, 2022 03:55:47 PM","9666##","EC ROW OFF","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","DEC 12, 2022 09:29:31 AM","15##","YORK","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","DEC 13, 2022 01:28:50 PM","35##","MELBOURNE","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 16, 2022 02:39:24 PM"," ","UNIVERSITY AVE W & JANETTE AVE","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","MAR 22, 2022 02:19:54 PM"," ","DOUGALL AVE & ERIE ST W","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 24, 2022 10:54:39 AM","16##","HICKORY","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 24, 2022 11:27:28 AM","38##","BYNG","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 01:59:57 PM"," ","ROSEVILLE GARDEN DR & CHARLIE BROOKS CRT","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 02:55:46 PM","15##","LABADIE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 03, 2022 10:30:43 AM"," ","PILLETTE RD & RIVERSIDE DR E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 11:21:15 AM"," ","SOMME AVE & CHRYSLER CENTRE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 12:51:48 PM","8##","BRIDGE","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 01:02:36 PM"," ","HURON CHURCH RD & TECUMSEH RD W","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 01:43:46 PM","6##","VANIER","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 02:53:58 PM","6##","VANIER","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 03, 2022 12:54:24 PM"," ","TECUMSEH RD W & HURON CHURCH RD","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 01, 2022 09:24:07 AM"," ","MCKAY AVE & RICHARDIE BLVD","WARD 1"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","AUG 29, 2022 12:24:55 PM"," ","PARENT AVE & RIVERSIDE DR E","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 11:03:40 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 11:37:53 AM"," ","PILLETTE RD & RIVERSIDE DR E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 11:38:19 AM"," ","PILLETTE RD & PLYMOUTH DR","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 12:03:59 PM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 27, 2022 09:11:37 AM","18##","PILLETTE","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 08:16:57 AM","17##","CENTRAL","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 09:51:27 AM","22##","LONGFELLOW","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 02, 2022 10:47:52 AM","27##","KEW","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","MAR 02, 2022 11:11:41 AM"," ","DIEPPE ST & RIVERSIDE DR E","WARD 6"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 03, 2022 12:01:54 PM","15##","WYANDOTTE","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 27, 2022 11:59:51 AM","2##","OAK","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","JAN 31, 2022 09:07:13 AM"," ","CABANA RD W & MOUNT CARMEL DR","WARD 1"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 31, 2022 01:44:25 PM"," ","TECUMSEH RD E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 04, 2022 03:28:35 PM"," ","GILES BLVD E & GLADSTONE AVE","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 04, 2022 04:03:46 PM","15##","EVERTS","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 25, 2022 09:57:27 AM"," ","CHRYSLER CENTRE & GRAND MARAIS RD E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 01, 2022 11:39:13 AM"," ","BANWELL RD & EC ROW AVE E","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 01, 2022 03:12:54 PM","31##","ROBINET","WARD 7"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 01, 2022 03:30:51 PM"," ","LONGFELLOW AVE & NORTHWOOD ST","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 08, 2022 01:37:51 PM","14##","HURON CHURCH","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 08, 2022 03:35:51 PM"," ","TECUMSEH RD W & HURON CHURCH RD","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 09, 2022 10:06:00 AM"," ","TECUMSEH RD W & HURON CHURCH RD","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 08:41:43 AM"," ","PILLETTE RD & SOMME AVE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 04, 2022 03:53:20 PM","19##","DOMINION","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 04, 2022 04:05:06 PM"," ","CLEMENCEAU BLVD & NORTH SERVICE RD E","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 12:53:28 PM","30##","WOODLAWN","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 12:53:57 PM"," ","TECUMSEH RD W & HURON CHURCH RD","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 07, 2022 09:09:59 AM"," ","LAUZON PKY & HAWTHORNE DR","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 01:14:38 PM"," ","RIVERSIDE DR E & DEVONSHIRE RD","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 18, 2022 03:22:01 PM"," ","TECUMSEH RD E & LAUZON PKY","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 10, 2022 12:52:20 PM","71##","WYANDOTTE","WARD 6"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 10, 2022 01:50:39 PM","28##","HOWARD","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 11, 2022 09:06:10 AM"," ","HOWARD AVE & EDINBOROUGH ST","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 11, 2022 10:46:40 AM","7##","BROCK","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 11, 2022 03:03:18 PM","16##","CENTRAL","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 11, 2022 03:44:44 PM","5##","CAPITOL","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 08:05:49 AM"," ","JEFFERSON BLVD & QUEEN ELIZABETH DR","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 09:36:05 AM"," ","GRAND MARAIS RD E & PLYMOUTH DR","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 10:23:51 AM","11##","DROUILLARD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 11:29:18 AM","26##","PILLETTE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 02:11:32 PM","29##","ROBINET","WARD 7"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 02:34:29 PM","12##","LANGLOIS","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 15, 2022 09:56:33 AM","18##","LINCOLN","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 15, 2022 10:28:21 AM","26##","PILLETTE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 03:00:11 PM","26##","PILLETTE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 03:45:13 PM"," ","JEFFERSON BLVD & QUEEN ELIZABETH DR","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 15, 2022 10:19:54 AM","18##","LINCOLN","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 16, 2022 12:26:53 PM"," ","OUELLETTE AVE & PITT ST W","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 16, 2022 01:15:58 PM","15##","AUBIN","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 17, 2022 09:51:09 AM","20##","HUDSON","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 17, 2022 11:17:25 AM","26##","PILLETTE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","DEC 06, 2022 02:44:04 PM"," ","GOYEAU ST & UNIVERSITY AVE E","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 12, 2022 12:28:37 PM","23##","DOUGALL","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 14, 2022 01:23:25 PM"," ","LILLIAN AVE & EDINBOROUGH ST","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","NOV 30, 2022 04:01:51 PM"," ","WALKER RD & 7TH CON RD","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 03:25:14 PM"," ","JANETTE AVE & HANNA ST W","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 08:05:23 AM"," ","PILLETTE RD & TECUMSEH RD E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 08:08:20 AM"," ","PILLETTE RD & GRAND MARAIS RD E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 12:06:00 PM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 01:34:55 PM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 01:38:40 PM","12##","GILES","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 09, 2022 03:51:41 PM"," ","HOWARD AVE & MCDOUGALL ST","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 10, 2022 09:03:59 AM","16##","JEFFERSON","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 10, 2022 10:14:52 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 11, 2022 12:12:08 PM"," ","DOMINION BLVD & MCKAY AVE","WARD 1"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 11, 2022 12:55:41 PM"," ","MCKAY AVE & DOMINION BLVD","WARD 1"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 02:12:53 PM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 22, 2022 02:38:24 PM"," ","PILLETTE RD & RIVERSIDE DR E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 11, 2022 10:18:24 AM","29##","ROBINET","WARD 7"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 11, 2022 01:50:18 PM"," ","BYNG RD & MELINDA ST","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 14, 2022 09:18:53 AM","36##","BYNG","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 10, 2022 11:19:11 AM","4##","PARENT","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 10, 2022 01:16:53 PM"," ","PARENT AVE & ASSUMPTION ST","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","JAN 10, 2022 01:21:41 PM","4##","PARENT","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 15, 2022 10:07:19 AM"," ","CRAWFORD AVE & ELLIOTT ST W","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 15, 2022 12:06:40 PM"," ","CENTRAL AVE & ONTARIO ST","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 15, 2022 03:32:38 PM","26##","PILLETTE","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 15, 2022 03:47:26 PM","9666##","EC ROW OFF","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 15, 2022 04:02:29 PM"," ","LAUZON PKY & HAWTHORNE DR","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 16, 2022 08:22:22 AM","18##","CENTRAL","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 16, 2022 09:56:51 AM","76##","TECUMSEH","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 16, 2022 11:07:36 AM","16##","CENTRAL","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 16, 2022 11:22:19 AM"," ","CENTRAL AVE & SEMINOLE ST","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 16, 2022 12:41:04 PM","7##","BROCK","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 15, 2022 08:09:26 AM","36##","BYNG","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 09, 2022 10:34:04 AM"," ","LENS AVE & BYNG RD","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 09, 2022 02:53:56 PM","8##","SOUTH PACIFIC","WARD 10"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 19, 2022 11:52:29 AM","25##","PILLETTE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","JAN 17, 2022 09:18:59 AM"," ","VIMY AVE & CADILLAC ST","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 10, 2022 01:56:48 PM","26##","PILLETTE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 28, 2022 01:33:53 PM","12##","MCEWAN","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 28, 2022 02:46:24 PM","13##","GILES","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 09, 2022 11:58:21 AM"," ","LAUZON PKY & TRANBY AVE","WARD 6"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 15, 2022 03:22:59 PM","16##","WINDSOR","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 17, 2022 01:40:15 PM","33##","YPRES","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 17, 2022 02:44:03 PM","71##","TECUMSEH","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 18, 2022 10:22:02 AM","15##","NIAGARA","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 18, 2022 02:48:24 PM","16##","PROVINCIAL","WARD 9"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 18, 2022 03:33:07 PM"," ","TECUMSEH RD E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 22, 2022 02:41:02 PM","71##","TECUMSEH","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 18, 2022 03:38:31 PM","71##","TECUMSEH","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 22, 2022 09:23:59 AM","71##","TECUMSEH","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 01, 2022 09:25:12 AM"," ","OUELLETTE AVE & ELLIOTT ST W","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 02, 2022 11:29:55 AM"," ","BRUCE AVE & SHEPHERD ST W","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 02, 2022 11:58:43 AM"," ","PILLETTE RD & GRAND MARAIS RD E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 02, 2022 01:13:02 PM","26##","PILLETTE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 02, 2022 02:17:53 PM","26##","PILLETTE","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 17, 2022 11:02:21 AM"," ","TECUMSEH RD E & LAUZON PKY","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 08:22:54 AM"," ","PILLETTE RD & TECUMSEH RD E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 08:37:56 AM"," ","PILLETTE RD & GRAND MARAIS RD E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 08:39:07 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 23, 2022 09:01:58 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 01, 2022 09:26:20 AM"," ","GLADSTONE AVE & WYANDOTTE ST E","WARD 4"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 01, 2022 11:06:04 AM","5##","ASKIN","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 09:38:27 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 23, 2022 09:49:01 AM","24##","PILLETTE","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 09:54:15 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 23, 2022 10:38:58 AM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","MAR 01, 2022 02:42:50 PM"," ","ASKIN AVE & WYANDOTTE ST W","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","Web Intake","MAR 01, 2022 07:00:10 PM"," "," ","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Web Intake","MAR 01, 2022 08:15:32 PM"," "," ","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 02:47:30 PM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 03:01:18 PM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 03:06:35 PM"," ","PILLETTE RD & RIVERSIDE DR E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 03:07:40 PM"," ","PILLETTE RD & RIVERSIDE DR E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 03:52:57 PM"," ","RIVERSIDE DR E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 22, 2022 03:59:37 PM"," ","PILLETTE RD & RIVERSIDE DR E","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 02, 2022 02:36:04 PM","25##","PILLETTE","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 02, 2022 03:27:06 PM","26##","PILLETTE","WARD 8"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 02, 2022 03:57:47 PM","26##","TECUMSEH","WARD 2"," "
"Pothole","Contracts, Field Services & Maintenance","E-Mail","FEB 03, 2022 10:00:24 AM","29##","PILLETTE","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 03, 2022 10:46:44 AM"," ","WYANDOTTE ST W & BRUCE AVE","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 04, 2022 11:17:34 AM","24##","BANWELL","WARD 7"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 04, 2022 12:19:35 PM"," ","WYANDOTTE ST W & BRUCE AVE","WARD 3"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 04, 2022 01:07:21 PM"," ","TECUMSEH RD E & PILLETTE RD","WARD 5"," "
"Pothole","Contracts, Field Services & Maintenance","Text","FEB 07, 2022 08:25:43 AM"," ","COUSINEAU RD & CASGRAIN DR","WARD 1"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 07, 2022 11:45:53 AM"," ","DOMINION BLVD & GRAND MARAIS RD W","WARD 1"," "
"Pothole","Contracts, Field Services & Maintenance","Phone","FEB 07, 2022 12:45:16 PM","15##","BRUCE","WARD 3"," "
